"ID","GSM30361","GSM30362","GSM30363","GSM30364","GSM30365","GSM30366","GSM30367","GSM30368","GSM30369","GSM30370","GSM30371","GSM30372","GSM30373","GSM30374"
"1007_s_at",321.8,257.1,331,366.8,205.2,223.9,262.1,313.5,255.5,235.5,197,197.4,291.4,132.6
"1053_at",204.8,293.5,217.4,261.8,215.8,265.6,56.1,203.5,179.6,136.2,189.5,158.6,67.3,153.3
"117_at",538.6,367,529,362.1,561.1,365.4,275.6,1037.3,565.9,588.7,1153.8,1401.4,256,423.1
"121_at",1277.8,880.2,1031.8,1036.1,790.9,1016.1,1165.7,1189.1,1039.6,992.4,853.7,1088.2,709.9,747.4
"1255_g_at",51.3,44,41.5,26.4,53.5,36.5,22.3,73.7,51,42.5,64.1,33.3,35.1,74.2
"1294_at",645.1,593.9,673.9,702.3,628.2,511.1,280.9,690.1,912.3,945.9,551.5,380.1,855.5,454.4
"1316_at",190.9,172.5,128.4,199.5,287,202.3,435.4,298.7,107,185.7,192,236.9,170.9,163.8
"1320_at",9.4,5.9,9.6,21.1,16.4,18.2,70.3,21.1,12.4,20.5,16.4,13.3,8.9,11.4
"1431_at",88.7,51.5,96.4,94.1,88.5,15.4,83.4,77.8,51.2,55.1,53.7,18.5,55.6,36.3
"1438_at",242.5,20.3,38.8,28.4,128.8,39.6,297.3,86,92.7,73.5,104.6,14.9,50.5,17.1
"1487_at",575.6,287.8,399,487.4,360.6,340.2,137.2,315,552.5,390.3,389.1,494.2,292.7,316.1
"1494_f_at",223.7,129.4,226.6,213,158.2,20.8,31.1,320.3,183.1,149.1,157.2,253.2,145.8,237.7
"1598_g_at",310.3,334.1,310.9,384.1,203.6,303.8,84.1,94.8,434.5,607.9,343.6,437,231.5,165.8
"160020_at",799,370.1,316.5,263.2,503.4,314.3,690.2,347.4,334.3,341.6,259.9,520.4,256.8,380.3
"1729_at",978.6,717.5,606.5,644.7,619.2,720.3,345.2,774.3,871.5,579.9,345.6,475.4,804.3,300.4
"1773_at",191.6,160.2,123.3,58.8,175.9,66.1,17.6,166,299.4,96.2,58.8,115.3,85.6,127.5
"177_at",141.4,125.7,98.6,131.2,144.2,113.3,209,242.9,145.3,133.3,140.3,188.1,107.4,147.9
"1861_at",108.8,162.4,177.5,172.4,200.4,153.5,12.5,164.7,216.9,192.4,160.2,199.4,184.8,206.9
"200000_s_at",1526.5,1091.8,1536.5,1595,1159.6,825.8,224.9,1214.3,1344.9,1128.9,537.7,617.5,1457.4,933.9
